Date,Solar Radiation (W/m²),Heat Flux Density (W/m²),Mean Temperature (°C),Vapor Pressure Slope (kPa/ºC),Wind Speed (m/s),T_min,T_max
2023-01-01,384.9877056548825,228.23440599686768,25.320375515131598,0.9522707188014593,9.276120859483164,21.20444148121151,27.827692374833855
2023-01-02,435.75980376997256,278.65240180821286,26.44689134645969,1.004507378588999,6.2067531737646915,19.667377884127546,28.57224346053133
2023-01-03,443.7787875862132,260.0281447887767,28.814782059630993,1.0499776248462214,5.69567988693453,27.047164540856077,35.5964024568092
2023-01-04,396.162356073116,247.33648807113278,21.83887455655132,0.8517103828544768,3.4093686064971354,20.11282218766402,26.648638298342586
2023-01-05,408.27453547449073,243.73773258521496,26.264699617440918,0.9873826181859028,2.279993492149871,20.979771708387695,31.902069302249235
2023-01-06,412.67552007909995,249.61868031746383,25.64601013964814,0.9645454141147612,3.4177960683246744,23.587813435483586,32.00347860676497
2023-01-07,493.44566984300224,291.2255590516176,25.47309243169379,0.9787599633552618,3.810165550804231,21.92401383797939,30.638638277816657
2023-01-08,467.2591793987097,283.39233155087805,19.067946576467744,0.7733353529470381,6.254488401344345,15.625544501506848,21.68528388193656
2023-01-09,473.6336224115728,281.17503328698774,25.39642287319212,0.9512297139156612,8.396207255339544,24.042810514912073,28.16915133140114
2023-01-10,494.88829772094203,312.48346717640135,25.46487363947176,0.9660610133097156,2.2048024518569127,19.09708250033335,27.40546157683112
2023-01-11,473.5267445336694,274.2220969879836,31.07594074403763,1.1225575324102084,5.173483163053897,29.680677919505875,32.612321022500545
2023-01-12,498.1125818387981,295.0039139166779,28.74504424292006,1.0676442631262713,4.638951838099631,27.436238286193632,34.4074027386979
2023-01-13,486.87443532088406,271.8257358495024,26.53513724351436,0.9804047764881133,1.7965711573770413,23.67818670124485,29.702922357582523
2023-01-14,531.3658334390511,330.8575083093446,28.124835078691248,1.0456634253621575,3.416648206457975,21.840926100824767,33.27658290687504
2023-01-15,508.8202726432909,310.77990752891276,28.431707976294717,1.046225038828594,5.18735355712934,24.58473932584873,30.379507092349805
2023-01-16,543.5403451290382,331.8459827131087,24.221773704053675,0.9241850835838622,1.538836080008657,22.126403304936105,30.776959596236196
2023-01-17,565.8705652626319,333.6328468847439,23.457099010187378,0.9038413691404468,5.651966863686244,17.598505791810048,29.43894047813059
2023-01-18,550.507406516909,335.2670730047252,28.529972315357977,1.0770766812745165,7.7940609260999,23.73663320542554,31.03581741116036
2023-01-19,577.404689982041,356.6025253964831,27.227095709302468,1.0037546478589328,4.02087872024516,26.057144873644706,32.433704643458746
2023-01-20,544.5769664292466,320.2657718226316,29.503569069987094,1.090122109672428,3.68115483244625,22.727674070490075,31.468603319935397
2023-01-21,552.6781172341869,348.7396039399114,27.226638573056896,1.0183284327661148,4.119406956241535,22.833567812022853,30.745079933160092
2023-01-22,588.4260567006262,348.72372858002626,30.227005714479976,1.1044829487380918,2.117459179288737,23.6391091074206,35.20866451413073
2023-01-23,587.128690623448,343.2092686040569,26.12940135169236,0.9934813149805087,5.784789564591856,24.894051277772295,28.12602613757441
2023-01-24,570.3262890808567,353.7494352374579,32.71862233343817,1.184636773564852,3.3777053436365425,28.065585744699227,34.06644162630364
2023-01-25,595.8695068342886,355.8963131699034,28.46041670739123,1.0579461629707765,4.518465437997841,26.402581585032845,30.622449531432355
2023-01-26,636.3339853135953,380.17889477927474,30.946327424200113,1.1219896950923631,5.10743700174542,24.513637163835504,34.59962338559531
2023-01-27,604.7423666866194,369.424369674216,30.448895304280544,1.1159986841548715,3.43415893012257,25.844642294607006,32.219507677067035
2023-01-28,625.7053186701884,382.6685367574126,29.165176542206346,1.075813421143412,2.1678268965126364,23.56198769043942,32.05748480143177
2023-01-29,623.4997007135429,364.4162907895399,27.525609937123978,1.0032219248161913,5.2613465898541545,26.346773110795375,30.587210804196364
2023-01-30,641.076874144909,385.38068833600823,24.443026411819613,0.9188879672690458,6.839390207495723,20.768584850774644,28.043377531147208
2023-01-31,649.8571676411203,393.661116383838,28.862680795636784,1.0726273896751544,7.548888814519565,24.220464947193477,32.97238675617272
2023-02-01,660.1122092233295,399.7624858174515,27.99180206692066,1.0515148639456298,1.6475285656157368,25.663750901654296,31.024133865189427
2023-02-02,663.8682100805526,414.45917237703424,28.479484951688363,1.0662617618063521,1.6341028641063264,23.658809707149807,32.43888652111516
2023-02-03,674.8853961641479,399.04881213309307,30.926368766350922,1.1271131775996324,6.57406036795353,27.784245185729777,34.02556550541511
2023-02-04,671.5704527138574,395.52979417287787,27.905988647319976,1.046569646017716,5.527588237207661,25.52200003185204,29.56842407210364
2023-02-05,671.364502325882,388.84141291504835,29.855999279992524,1.0814363161197014,4.785875450887056,24.37289869696967,32.06933577969481
2023-02-06,661.3103063104128,404.6559841720213,31.030472991799627,1.1124310904837913,4.400344442460539,28.06741754075541,36.99755741390785
2023-02-07,613.9910557588869,357.93937160527855,30.555344512367725,1.1247092962571508,5.791683856251773,29.411064650507264,36.021426395618256
2023-02-08,671.1615378417301,397.5481895084629,29.4938237320667,1.0835428282675557,3.812087572883491,28.274973460096245,35.806207899750795
2023-02-09,666.4806679796094,386.4039986963806,32.66231359208202,1.1929540066329993,7.056448379553814,28.494638769899517,34.030169672602845
